lenderid,name,rssdid,Non-us
L0561,CAJA DE AHORROS Y MONTE DE PIEDAD DEL CATOLICO DE NAVARRA,,
L0562,CAJA DE AHORROS Y MONTE DE PIEDAD DEL CATOLICO DE OBREROS DE BURGOS,,
L0563,CAJA DE AHORROS Y MONTE DE PIEDAD DEL CATOLICO DE PONTEVEDRA,,
L0564,CAJA DE AHORROS Y MONTE DE PIEDAD DEL CATOLICO DE VIGO,,
L0565,CAJA DE CATALUNA,,
L0566,CAJA DE PEN. PARA VEJEZ Y DE AHORROS,,
L0567,CAJA POSTA,,
L0568,CALIBER SA.,,
L0569,CALIFORNIA TRUST BK,,
L0570,CANADIAN AMERICAN BANK SA,,
L0571,CANADIAN EASTERN FINANCE,,
L0573,CANARA BANK,,
L0574,CAPEL COURT,,
L0575,CAPITALFIN D.G. BANK INTERNATIONAL LTD.,,
L0577,CARIPLO,,
L0578,CARL KIERUIF & CO,,
L0579,CARL KIERULF & CO,,
L0580,CAROLINA BANK,,
L0581,CARTARET SAVINGS & LOAN ASSOCIATION,,
L0582,CASSA DI RISPARMIO DELLE MARCA TRIVIGIANA,,
L0583,CASSA DI RISPARMIO DELLE PROVINCIE LOMBARDE (NEW YORK),,
L0584,CASSA DI RISPARMIO DI CARRARA,,
L0585,CASSA DI RISPARMIO DI FERMO,,
L0586,CASSA DI RISPARMIO DI GENOVA E IMPERIA,,
L0587,CASSA DI RISPARMIO DI LUCCA,,
L0588,CASSA DI RISPARMIO DI RAVENNA,,
L0589,CASSA DI RISPARMIO DI RIETI,,
L0590,CASSA DI RISPARMIODI ROMA,,
L0591,CASSA DI RISPARMIO DI TORINO,,
L0592,CASSA DI RISPARMIO DI TORTONA,,
L0593,CASSA DI RISPARMIO DI VERONA VICENZA BELLUNO,,
L0594,CATER ALLEN,,
L0595,CAWT,,
L0596,CAZAR,,
L0597,CAZENOVE,,
L0598,CBT,,
L0599,CCF,,
L0600,CCIC FINANCE LTD,,
L0601,CDFC,,
L0602,CECA,,
L0603,CECA CAJA DE BARCELONA,,
L0604,CEF CAPITAL,,
