rssdid,bhcid,date,name
26541,0,19980630,DUCK HILL BK
26608,1242610,19890331,BEDFORD BK
26756,3123487,20051231,JASPER ST BK
26765,5278381,20200331,VANTAGE BK TX
26859,1101735,20131231,OMNIBANK NA
26916,1117129,20100930,DELAWARE NB
26934,1085246,19950630,BANK OF ALBERTVILLE
26952,1058455,19861231,SECURITY NB&TC
27052,1055418,19881231,FIRST INTRST BK OF SUGARLAND
27070,0,20200331,PREVAIL BK
27137,0,19830630,WARREN COUNTY BK
27267,1106329,19990630,BROOKHOLLOW NB
27333,1081743,19850630,GUARDIAN BK
27351,1101632,19840331,ALLIED MEMORIAL BK
27418,0,19821231,FIRST NB OF FRANKFORD
27427,0,19841231,CITIZENS NB OF NW CASTLE
27445,1199778,19930630,INB BKG CO SOUTHWEST
27454,1059162,19860930,NORMAN BK OF CMRC
27463,1132131,19960331,BANK OF RANCHO BERNARDO
27548,1491913,20200331,BLACKHAWK BK
27557,1027004,19771231,NORTHERN 1ST IND BK
27614,1071913,20200331,ANDOVER BK
27650,1131929,19921231,STATE BK OF KENNETH
27744,1202892,19940930,FIRST ST B&TC PARK RIDGE
27838,2339889,20071231,HERITAGE BK
27847,1491333,20200331,DIAMOND BK
27931,1086533,19990630,AMERICAN SECURITY BK OF VILLE
28013,3132863,20200331,NORTHFIELD BK
28040,0,19930930,CITIZENS ST BK
28059,0,19910930,FIRST CMNTY IND BK OF LAKEWOOD
28116,0,19760331,CITIZENS BK CO
28152,1133549,20200331,HARVEST BK
28246,1202856,19941231,BANK OF PECATONICA
28255,1130771,20190331,FIRST NB
28303,1068025,19970331,KEYBANK NA
28349,2576424,20160630,ALLIED BK
28406,3742020,20190331,BLUE HILLS BK
28451,0,19850930,BANK OF OSSEO
28572,3187247,20140331,COLUMBIA SVG BK
28611,1034888,19881231,MARINE NB
28657,1060122,19930630,FIRST NB THERMOPOLIS
