,original_index,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,CLUSTER,IMPUTED,,
8407,8407,198509042,1,B0074,AEGON NV,AEGON NV,,NETHERLANDS,NLD,K65,5498,0,,
8466,8466,198510028,1,B0074,AEGON NV,AEGON NV,,NETHERLANDS,NLD,K65,5498,0,,
9948,9948,198612068,1,B0074,AEGON NV,AEGON NV,,NETHERLANDS,NLD,K65,5498,0,,
11366,11366,198710063,1,B0074,AEGON NV,AEGON NV,,NETHERLANDS,NLD,K65,5498,0,,
12517,12517,198808048,1,B0074,AEGON NV,AEGON NV,,NETHERLANDS,NLD,K65,5498,0,,
2245,2245,197907001,1,B0075,AER LINGUS,AER LINGUS,,IRELAND,IRL,H51,6985,1,,
4509,4509,198112001,1,B0075,AER LINGUS,AER LINGUS,,IRELAND,IRL,H51,6985,0,,
10746,10746,198706030,1,B0075,AER LINGUS,AER LINGUS,,IRELAND,IRL,H51,6985,0,,
11129,11129,198709071,1,B0075,AER LINGUS,AER LINGUS,,IRELAND,IRL,H51,6985,0,,
3723,3723,198105001,1,B0076,AERIMPIANTI SPA,AERIMPIANTI SPA,,ITALY,ITA,H50,5049,0,,
4149,4149,198109003,1,B0077,AERITALIA,AERITALIA,,ITALY,ITA,H51,7359,0,,
4150,4150,198109004,1,B0077,AERITALIA,AERITALIA,,ITALY,ITA,H51,7359,0,,
5321,5321,198208001,1,B0077,AERITALIA-SOCIETI AEROSPAZIALE ITALIANAPERAZIONI,AERITALIASOCIETI AEROSPAZIALE ITALIANAPERAZIONI,,ITALY,ITA,H51,7716,1,,
6932,6932,198405023,1,B0077,AERITALIA-SOCIETA AEROSPAZIALE ITALIANA PER AZIONI,AERITALIASOCIETA AEROSPAZIALE ITALIANA PER AZIONI,,ITALY,ITA,C32,6621,0,,
4619,4619,198201001,1,B0078,AERMACCHI SPA,AERMACCHI SPA,,ITALY,ITA,C32,5055,0,,
5446,5446,198209001,1,B0079,AERMEDITERRANEA SPA,AERMEDITERRANEA SPA,,ITALY,ITA,H51,5047,0,,
13110,13110,198812038,1,B0080,AERO INTERNATIONAL,AERO INTERNATIONAL,,ITALY,ITA,J58,1564,0,,
14842,14842,199005082,1,B0080,AEROINTERNATIONAL INC,AEROINTERNATIONAL INC,,UNITED STATES,USA,C28,8211,0,,
13976,13976,198910024,1,B0081,AERO LLOYD FLUGREISEN G LUFTVERKEHRS,AERO LLOYD FLUGREISEN G LUFTVERKEHRS,,WEST GERMANY,DEU,H51,7757,0,,
11528,11528,198711081,1,B0082,AEROLEASE INTERNATIONAL INC,AEROLEASE INTERNATIONAL INC,,UNITED STATES,USA,C28,1499,0,,
12759,12759,198809165,1,B0082,AEROLEASE,AEROLEASE,,UNITED STATES,USA,C28,7814,0,,
1049,1049,197706001,1,B0083,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,,ARGENTINA,ARG,H51,6606,1,,
1913,1913,197901003,1,B0083,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,,,ARG,H51,6606,3,,
3454,3454,198101002,1,B0083,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,AA,ARGENTINA,ARG,H51,6606,0,,
4151,4151,198109005,1,B0083,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,AA,ARGENTINA,ARG,H51,6606,0,,
4878,4878,198203003,1,B0083,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,AA,ARGENTINA,ARG,H51,6606,0,,
4879,4879,198203004,1,B0083,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,AA,ARGENTINA,ARG,H51,6606,0,,
4935,4935,198204001,1,B0083,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,AA,ARGENTINA,ARG,H51,6606,0,,
3256,3256,198010001,1,B0084,AERONAVES DEL CENTRO SA,AERONAVES DEL CENTRO SA,,UNITED STATES OF AMERICA (THE),USA,Unknown,4356,1,,
1607,1607,197808002,1,B0085,"AEROPUERTO DE CARACAS, CA VENEZUELA",AEROPUERTO DE CARACAS CA VENEZUELA,,VENEZUELA,VEN,H52,843,0,,
701,701,197606001,1,B0086,AEROPORTOS DO RIO DE JANEIRO SA,AEROPORTOS DO RIO DE JANEIRO SA,,BRAZIL,BRA,H51,441,0,,
1552,1552,197807001,1,B0086,AEROPORTOS DO RIO DE JANEIRO,AEROPORTOS DO RIO DE JANEIRO,,BRAZIL,BRA,H52,432,0,,
1843,1843,197812001,1,B0086,AEROPORTOS DO RIO DE JANEIRO,AEROPORTOS DO RIO DE JANEIRO,,BRAZIL,BRA,H52,432,0,,
5503,5503,198210002,1,B0086,AEROPORTOS DO RIO DE JANEIRO SA,AEROPORTOS DO RIO DE JANEIRO SA,,BRAZIL,BRA,H49,441,0,,
4620,4620,198201002,1,B0087,AEROPORTOS E NAVIGACAO AEREA,AEROPORTOS E NAVIGACAO AEREA,ANA,PORTUGAL,PRT,Unknown,7222,1,,
5026,5026,198205005,1,B0087,AEROPORTOS E NAVIGACAO AEREA,AEROPORTOS E NAVIGACAO AEREA,,PORTUGAL,PRT,Unknown,7222,1,,
10592,10592,198705015,1,B0088,AEROPORTS DE PARIS,AEROPORTS DE PARIS,,FRANCE,FRA,H51,897,0,,
11827,11827,198802034,1,B0088,AEROPORTS DE PARIS,AEROPORTS DE PARIS,,FRANCE,FRA,H51,897,0,,
10224,10224,198702058,1,B0089,AEROSPATIALE,AEROSPATIALE,,FRANCE,FRA,C28,7408,0,,
10500,10500,198704023,1,B0089,AEROSPATIABLE,AEROSPATIABLE,,FRANCE,FRA,C28,7562,0,,
11931,11931,198803008,1,B0089,AEROSPATIALE SNI,AEROSPATIALE SNI,,FRANCE,FRA,C28,7409,0,,
4731,4731,198202002,1,B0090,AEROVIAS NACIONALES DE COLOMBIA SA,AEROVIAS NACIONALES DE COLOMBIA SA,AVIANCA,COLOMBIA,COL,H51,628,0,,
9554,9554,198609020,1,B0090,AEROVIA NACIONALES DE COLOMBIA,AEROVIA NACIONALES DE COLOMBIA,AVIANCA,COLUMBIA,COL,H51,631,1,,
2662,2662,198001001,1,B0091,AEROVIAS VENEZOLANOS SA,AEROVIAS VENEZOLANOS SA,,VENEZUELA,VEN,H51,4658,0,,
2663,2663,198001002,1,B0091,AEROVIAS VENEZOLANOS SA,AEROVIAS VENEZOLANOS SA,,VENEZUELA,VEN,H51,4658,0,,
10185,10185,198702019,1,B0092,AES DATA INC,AES DATA INC,,CANADA,CAN,C26,8336,0,,
6552,6552,198311107,1,B0093,AETNA LIFE AND CASUALTY CO,AETNA LIFE CASUALTY CO,,UNITED STATES,USA,K65,1750,0,,
8236,8236,198507099,1,B0093,AETNA CASUALTY & SURETY CO,AETNA CASUALTY SURETY CO,,UNITED STATES,USA,K65,1751,1,,
9099,9099,198604061,1,B0093,AM RE/AETNA HOLIDNGS COMPANY,AM REAETNA HOLIDNGS COMPANY,,UNITED KINGDOM,GBR,Q86,3121,0,,
14132,14132,198911092,1,B0094,AFG INDUSTRIES,AFG INDUSTRIES,,UNITED STATES,USA,C24,8125,0,,
526,526,197511001,1,B0095,AFRICAN DEVELOPMENT BANK,AFRICAN DEVELOPMENT BANK,,SUPRANATIONAL,Unknown,U99,46,2,,
571,571,197601002,1,B0095,AFRICAN DEVELOPMENT BANK,AFRICAN DEVELOPMENT BANK,,SUPRANATIONAL,Unknown,U99,46,2,,
721,721,197607001,1,B0095,AFRICAN DEVELOPMENT BANK,AFRICAN DEVELOPMENT BANK,,SUPRANATIONAL,Unknown,U99,46,2,,
1301,1301,197802001,1,B0095,AFRICAN DEVELOPMENT BANK,AFRICAN DEVELOPMENT BANK,,INTERNATIONAL,Unknown,U99,46,2,,
2136,2136,197905001,1,B0095,THE AFRICAN DEVELOPMENT BANK,AFRICAN DEVELOPMENT BANK,,,Unknown,U99,46,3,,
2246,2246,197907002,1,B0095,AFRICAN DEVELOPMENT BANK,AFRICAN DEVELOPMENT BANK,,,Unknown,U99,46,3,,
