,PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,IMPUTED
10157,198701111,1,B2308,FREEMONT GENERAL CORP,,UNITED STATES,USA,K64,,,0
10158,198701112,1,B3491,LOCKHEED CORP,,UNITED STATES,USA,C32,,,0
10159,198701113,1,B3606,MASSACHUSSETS INDUSTRIAL FINANCE AGENCY,,UNITED STATES,USA,K64,,,0
10160,198701114,1,B3623,MCA INC,,UNITED STATES,USA,C18,,,0
10161,198701115,1,B3530,MCORP,,UNITED STATES,USA,C28,,,0
10162,198701116,1,B3882,NATIONAL DISTILLERS & CHEMICAL CORP,,UNITED STATES,USA,C20,,,0
10163,198701117,1,B4084,NORWEST CORP,,UNITED STATES,USA,K64,,,0
10164,198701118,1,B5266,SPECTRUM ENTERTAINMENT,,UNITED STATES,USA,C31,,,0
10165,198701119,1,B4795,SAFEWAY STORES,,UNITED STATES,USA,G47,,,0
10166,198701120,1,B4930,SECURITY PACIFIC CORP,,UNITED STATES,USA,K64,,,0
10167,198702001,1,B0734,BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL,,ALGERIA,DZA,K64,,,0
10168,198702002,1,B0742,BANQUE NATIONALE D'ALGERIE,,ALGERIA,DZA,K64,,,0
10169,198702003,1,B0069,ADVANCE BANK AUSTRALIA LTD,,AUSTRALIA,AUS,K64,,,0
10170,198702004,1,B0445,AUSTRALIAN INDUSTRY DEVELOPMENT CORP,,AUSTRALIA,AUS,O84,,,0
10171,198702005,1,B0920,BRIDGE OIL INTERNATIONAL FINANCE LTD,,AUSTRALIA,AUS,B06,,,0
10172,198702006,1,B0971,BT AUSTRALIA LTD,,AUSTRALIA,AUS,K64,,,0
10173,198702007,1,B0971,BT AUSTRALIA LTD,,AUSTRALIA,AUS,K64,,,0
10174,198702008,1,B2831,HOWARD SMITH LTD,,AUSTRALIA,AUS,C31,,,0
10175,198702009,1,B3981,NEWS SECURITIES BV,,AUSTRALIA,AUS,K64,,,0
10176,198702010,1,B4767,RURAL & INDUSTRIES BANK OF WESTERN AUSTRALIA,,AUSTRALIA,AUS,K64,,,0
10177,198702011,1,B2445,SOUTH AUSTRALIA GOVERNMENT FINANCING AUTHORITY LOCAL GOVERNMENT FINANCING AUTHORITY,,AUSTRALIA,AUS,O84,,,0
10178,198702012,1,B2445,SOUTH AUSTRALIA GOVERNMENT TRUST LTD,,AUSTRALIA,AUS,O84,,,0
10179,198702013,1,B5308,STATE BANK OF SOUTH AUSTRALIA,,AUSTRALIA,AUS,K64,,,0
10180,198702014,1,B5463,TELECOM AUSTRALIA,,AUSTRALIA,AUS,J61,,,0
10181,198702015,1,B0393,ALSK-CGER BANK,,BELGIUM,BEL,K64,,,0
10182,198702016,1,B4128,OFFICE CENTRALE DU CREDIT HYPOTHECAIRE,,BELGIUM,BEL,K64,,,0
10183,198702017,1,B0591,BANCO DO BRASIL SA,,BRAZIL,BRA,K64,,,0
10184,198702018,1,B0981,BULGARIAN FOREIGN TRADE BANK,,BULGARIA,BGR,K64,,,0
10185,198702019,1,B0092,AES DATA INC,,CANADA,CAN,C26,,,0
10186,198702020,1,B1056,CAMPEAU ACQUISITION CORP,,CANADA,CAN,L68,,,0
10187,198702021,1,B1302,CHRYSLER CREDIT CANADA,,CANADA,CAN,C29,,,0
10188,198702022,1,B1362,CLARK EQUIPMENT CREDIT OF CANADA,,CANADA,CAN,C28,,,0
10189,198702023,1,B3420,LAWSON MARDON LTD,,CANADA,CAN,C22,,,0
10190,198702024,1,B2460,PROVINCE OF NEW BRUNSWICK,,CANADA,CAN,O84,,,0
10191,198702025,1,B2460,PROVINCE OF QUEBEC,,CANADA,CAN,O84,,,0
10192,198702026,1,B5139,SOCIETE IMOBILIARE DE QUEBEC,,CANADA,CAN,F41,,,0
